cds	gene
cds130	gene75
cds130	gene75
cds130	gene75
cds130	gene75
cds130	gene75
cds130	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds131	gene75
cds132	gene76
cds132	gene76
cds132	gene76
cds132	gene76
cds132	gene76
cds132	gene76
cds132	gene76
cds132	gene76
cds133	gene77
cds133	gene77
cds133	gene77
cds133	gene77
cds134	gene77
cds134	gene77
cds134	gene77
cds134	gene77
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds135	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds136	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds137	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds138	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds139	gene78
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds140	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds141	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds142	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds143	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds144	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds145	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds146	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds147	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds148	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds149	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds150	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds151	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds152	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds153	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds154	gene79
cds155	gene80
cds156	gene81
cds156	gene81
cds156	gene81
cds157	gene82
cds157	gene82
cds157	gene82
cds157	gene82
cds157	gene82
cds158	gene82
cds158	gene82
cds158	gene82
cds158	gene82
cds158	gene82
cds159	gene82
cds159	gene82
cds159	gene82
cds159	gene82
cds159	gene82
cds160	gene83
cds160	gene83
cds160	gene83
cds160	gene83
cds160	gene83
cds160	gene83
cds160	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds161	gene83
cds162	gene84
cds162	gene84
cds162	gene84
cds162	gene84
cds163	gene84
cds163	gene84
cds163	gene84
cds163	gene84
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds164	gene85
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds165	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds166	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds167	gene86
cds168	gene86
cds168	gene86
cds168	gene86
