cds	gene
cds73	gene69
cds73	gene69
cds73	gene69
cds73	gene69
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds74	gene70
cds75	gene71
cds75	gene71
cds75	gene71
cds75	gene71
cds76	gene72
cds76	gene72
cds76	gene72
cds76	gene72
cds77	gene72
cds77	gene72
cds77	gene72
cds77	gene72
cds78	gene72
cds78	gene72
cds78	gene72
cds78	gene72
cds79	gene73
cds79	gene73
cds80	gene74
cds80	gene74
cds81	gene75
cds81	gene75
cds81	gene75
cds82	gene76
cds82	gene76
cds83	gene77
cds83	gene77
cds83	gene77
cds83	gene77
cds84	gene78
cds84	gene78
cds84	gene78
cds84	gene78
cds84	gene78
cds85	gene78
cds85	gene78
cds85	gene78
cds85	gene78
cds86	gene79
cds86	gene79
cds86	gene79
cds86	gene79
cds87	gene80
cds87	gene80
cds87	gene80
cds87	gene80
cds88	gene81
cds88	gene81
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds89	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds90	gene82
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds91	gene83
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds92	gene84
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds93	gene86
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds94	gene87
cds95	gene88
cds95	gene88
cds95	gene88
cds95	gene88
cds96	gene89
cds96	gene89
cds96	gene89
cds96	gene89
cds96	gene89
cds97	gene89
cds97	gene89
cds97	gene89
cds97	gene89
cds97	gene89
cds98	gene89
cds98	gene89
cds98	gene89
cds98	gene89
cds98	gene89
cds99	gene90
cds100	gene92
cds100	gene92
cds100	gene92
cds100	gene92
cds100	gene92
cds100	gene92
cds100	gene92
cds100	gene92
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds101	gene93
cds102	gene95
cds103	gene96
cds103	gene96
cds103	gene96
cds103	gene96
