cds	gene
cds123	gene135
cds124	gene136
cds125	gene137
cds126	gene138
cds126	gene138
cds126	gene138
cds127	gene139
cds127	gene139
cds127	gene139
cds127	gene139
cds128	gene140
cds128	gene140
cds128	gene140
cds128	gene140
cds128	gene140
cds128	gene140
cds129	gene141
cds129	gene141
cds129	gene141
cds129	gene141
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds130	gene142
cds131	gene143
cds131	gene143
cds131	gene143
cds131	gene143
cds131	gene143
cds131	gene143
cds131	gene143
cds131	gene143
cds132	gene144
cds132	gene144
cds133	gene145
cds133	gene145
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds134	gene146
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds135	gene147
cds136	gene148
cds136	gene148
cds136	gene148
cds136	gene148
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds137	gene149
cds138	gene150
cds138	gene150
cds138	gene150
cds138	gene150
cds139	gene151
cds139	gene151
cds139	gene151
cds139	gene151
cds140	gene152
cds140	gene152
cds140	gene152
cds140	gene152
cds141	gene153
cds141	gene153
cds141	gene153
cds141	gene153
cds142	gene154
cds142	gene154
cds142	gene154
cds142	gene154
cds143	gene156
cds143	gene156
cds143	gene156
cds143	gene156
cds144	gene157
cds144	gene157
cds144	gene157
cds144	gene157
cds144	gene157
cds144	gene157
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds145	gene158
cds146	gene159
cds146	gene159
cds146	gene159
cds146	gene159
cds146	gene159
cds146	gene159
cds146	gene159
cds147	gene160
cds147	gene160
cds147	gene160
cds147	gene160
cds147	gene160
cds148	gene162
cds148	gene162
cds148	gene162
cds148	gene162
cds148	gene162
cds148	gene162
cds148	gene162
cds148	gene162
cds149	gene163
cds149	gene163
cds149	gene163
cds149	gene163
cds149	gene163
cds149	gene163
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds150	gene164
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds151	gene165
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds152	gene166
cds153	gene168
cds153	gene168
cds153	gene168
cds153	gene168
cds154	gene169
cds154	gene169
cds154	gene169
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds155	gene170
cds156	gene171
cds156	gene171
cds157	gene172
cds157	gene172
cds157	gene172
cds158	gene173
cds158	gene173
cds158	gene173
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds159	gene175
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
